"UWI" "TVD_GBI" "TVD" "TVD_diff"
"1" 30039234330100 6092 6187.29 95.29
"2" 30039311340000 5458.47 5420 -38.4700000000003
"3" 30039311480000 5578.4 5576 -2.39999999999964
"4" 30039311510000 6068.71 6061.13 -7.57999999999993
"5" 30039311730100 5666.35 5532.29 -134.06
"6" 30039311890000 5539.52 5526.67 -12.8500000000004
"7" 30039311900000 5605.8 5495.02 -110.78
"8" 30039311910000 5553.38 5454.87 -98.5100000000002
"9" 30039311920000 5550.76 5480.96 -69.8000000000002
"10" 30039311970000 5575.58 5519.4 -56.1800000000003
"11" 3.0039312e+13 5616.56 5503.33 -113.23
"12" 30039312010000 5787.26 5745.14 -42.1199999999999
"13" 30039312020000 5809.01 5778.8 -30.21
"14" 30039312040000 5624.93 5523.35 -101.58
"15" 30039312050000 5497.84 5444.8 -53.04
"16" 30039312070000 5580.52 5501.17 -79.3500000000004
"17" 30039312080000 5528.34 5415.35 -112.99
"18" 30039312110000 5634.31 5508.82 -125.490000000001
"19" 30039312120000 5569.03 5473.58 -95.4499999999998
"20" 30039312130000 5612.39 5521.5 -90.8900000000003
"21" 30039312140000 5368.49 5371.22 2.73000000000047
"22" 30039312170000 5584.15 5548.58 -35.5699999999997
"23" 30039312190000 5566.32 5500.98 -65.3400000000001
"24" 30039312210100 5749.45 5677.88 -71.5699999999997
"25" 30039312240000 5592.75 5535.85 -56.8999999999996
"26" 30039312250000 5589.18 5520.97 -68.21
"27" 30039312260000 5709.87 5648.84 -61.0299999999997
"28" 30039312270000 5725.42 5711.27 -14.1499999999996
"29" 30039312350000 5512.04 5441.33 -70.71
"30" 30039312360000 5509.35 5487.86 -21.4900000000007
"31" 30039312370000 5512.38 5443.69 -68.6900000000005
"32" 30039312390000 6417.97 6403.23 -14.7400000000007
"33" 30039312440000 5536.5 5492.04 -44.46
"34" 30039312450000 5517.98 5479.6 -38.3799999999992
"35" 30039312460000 5476.76 5418.91 -57.8500000000004
"36" 30039312470000 5509.46 5451.28 -58.1800000000003
"37" 30039312500000 5598.9 5545.58 -53.3199999999997
"38" 30039312510000 5685.11 5585.57 -99.54
"39" 30039312520000 5687.41 5582.46 -104.95
"40" 30039312540000 5533.24 5448.68 -84.5599999999995
"41" 30039312550000 5579.58 5551.06 -28.5199999999995
"42" 30039312560000 5539.42 5475.26 -64.1599999999999
"43" 30039312630000 5565.63 5494.08 -71.5500000000002
"44" 30039312670000 5533.61 5482.51 -51.0999999999995
"45" 30039312680000 5543.04 5454.44 -88.6000000000004
"46" 30039312770000 5516.94 5438.73 -78.21
"47" 30039312780000 5610.32 5512.94 -97.3800000000001
"48" 30039312810000 5526.21 5516.93 -9.27999999999975
"49" 30039312870000 5588.35 5542.14 -46.21
"50" 30039312880000 5527.28 5448.98 -78.3000000000002
"51" 30039312890100 5562.09 5494.77 -67.3199999999997
"52" 30039312900000 5575.83 5521.22 -54.6099999999997
"53" 30039312910100 5571.4 5530.17 -41.2299999999996
"54" 30039312920000 5506.07 5458.47 -47.5999999999995
"55" 30039312930000 5492.66 5426.93 -65.7299999999996
"56" 30039312940000 5517.96 5442.61 -75.3500000000004
"57" 30039312980000 5451.94 5412.43 -39.5099999999993
"58" 30039312990000 5440.93 5405.46 -35.4700000000003
"59" 30039313110000 5466.16 5483.71 17.5500000000002
"60" 30039313120000 5294.83 5338.19 43.3599999999997
"61" 30039313370000 5749.48 5710.15 -39.3299999999999
"62" 30039313400000 5730.91 5685.19 -45.7200000000003
"63" 30043211170100 5606.8 5559.58 -47.2200000000003
"64" 30043211180100 5642.56 5615.23 -27.3300000000008
"65" 30043211220100 5399.81 5372.99 -26.8200000000006
"66" 30043211230000 5423.43 5397.03 -26.4000000000005
"67" 30043211240100 5381.02 5361.08 -19.9400000000005
"68" 30043211250000 5455.91 5433.53 -22.3800000000001
"69" 30043211260000 5587.33 5552.45 -34.8800000000001
"70" 30043211270000 5611.79 5575.73 -36.0600000000004
"71" 30043211290000 5476.2 5450.4 -25.8000000000002
"72" 30043211300100 5367.87 5334.7 -33.1700000000001
"73" 30043211310100 5331.06 5311.01 -20.0500000000002
"74" 30043211330000 5289.57 5255.04 -34.5299999999997
"75" 30043211330100 5433.6 5413.73 -19.8700000000008
"76" 30043211340000 5385.4 5359.01 -26.3899999999994
"77" 30043211360000 5476.83 5430.28 -46.5500000000002
"78" 30043211370000 5329.52 5347.01 17.4899999999998
"79" 30043211390100 5510.04 5429.55 -80.4899999999998
"80" 30043211410000 5569.98 5546.63 -23.3499999999995
"81" 30043211420000 5551.12 5526.82 -24.3000000000002
"82" 30043211450000 5444.16 5444.07 -0.0900000000001455
"83" 30043211460000 5487.42 5474.16 -13.2600000000002
"84" 30043211470000 5341.36 5267.68 -73.6799999999994
"85" 30043211480000 5392.48 5317.29 -75.1899999999996
"86" 30043211490000 5406.5 5344.24 -62.2600000000002
"87" 30043211500100 5582.71 5562.6 -20.1099999999997
"88" 30043211510000 5582.21 5582.84 0.630000000000109
"89" 30043211520000 5588.48 5588.41 -0.069999999999709
"90" 30043211530000 5608.92 5594.57 -14.3500000000004
"91" 30043211610000 5380.4 5330.22 -50.1799999999994
"92" 30043211670000 5360.14 5302.52 -57.6199999999999
"93" 30043211690000 5404.4 5331.63 -72.7699999999995
"94" 30043211700000 5557.09 5485.06 -72.0299999999997
