"UWI" "MD" "TVD" "EWOFFSET" "NSOFFSET" "DIP" "AZM" "TVDSS" "XPATH" "YPATH" "SURNAME" "SURSTAT" "Borehole.Direction"
"1" 30039234330100 8670 6187.29 2500.78 -50.26 86.7 86.6 444.71 638928.86 1959098.91 "Actual" "Active" "down"
"2" 30039311340000 9745 5420 -4573.31 229.58 92 273.6 1290 587888.69 1919207.06 "Actual" "Active" "up"
"3" 30039311480000 10665 5576 -5242.77 19.19 91 273.8 1204 577708.72 1923521.27 "Actual" "Active" "up"
"4" 30039311510000 10850 6061.13 -4736.02 1607.03 89.69 289.95 936.87 572389.61 1948749.89 "Actual" "Active" "down"
"5" 30039311730100 10444 5532.29 -5090.56 1119.52 90.31 277.71 1517.71 582991.13 1908874.56 "Actual" "Active" "up"
"6" 30039311890000 10133 5526.67 -4842.43 -229.44 90 268.8 1179.33 582984.59 1933599.39 "Actual" "Active" "down"
"7" 30039311900000 10679 5495.02 -5440.55 -1148.55 90.75 277.77 1437.98 587957.36 1909642.25 "Actual" "Active" "up"
"8" 30039311910000 11654 5454.87 -5597.57 468.33 88.64 283.81 1495.13 587622.37 1906366.97 "Actual" "Active" "down"
"9" 30039311920000 10603 5480.96 -5006.01 -989.71 90.4 270.49 1565.04 582909.67 1899404.38 "Actual" "Active" "up"
"10" 30039311970000 10501 5519.4 -4982.59 124.85 90.26 272.46 1541.1 582963.37 1900543.46 "Actual" "Active" "down"
"11" 3.0039312e+13 10545 5503.33 -5427.43 -33.33 90.31 274.81 1429.67 587951.16 1910768.37 "Actual" "Active" "up"
"12" 30039312010000 11231 5745.14 4731.08 -1248.27 91.31 101.25 1563.86 582755.83 1899377.54 "Actual" "Active" "up"
"13" 30039312020000 11217 5778.8 4712.16 123.74 91.65 101.15 1530.2 582810.99 1900764.31 "Actual" "Active" "up"
"14" 30039312040000 10642 5523.35 -5415.86 1064.06 90.66 269.74 1414.65 587907.38 1911878.61 "Actual" "Active" "up"
"15" 30039312050000 11082 5444.8 4781.08 -975.45 90.84 91.25 1441.2 608657.99 1899038.21 "Actual" "Active" "up"
"16" 30039312070000 10871 5501.17 -5669.1 200.87 92.25 276.89 1526.83 582699.41 1903078.66 "Actual" "Active" "up"
"17" 30039312080000 11625 5415.35 -5171.19 1652.5 97.34 280.65 1509.65 587546.1 1902216.86 "Actual" "Active" "up"
"18" 30039312110000 10690 5508.82 -5215.68 -104.9 95.12 271.3 1544.18 582826.09 1907619.33 "Actual" "Active" "up"
"19" 30039312120000 11495 5473.58 -5529.51 1950.48 90.75 285.23 1476.42 587690.01 1907871.11 "Actual" "Active" "up"
"20" 30039312130000 10637 5521.5 -4945.32 1347.65 89.7 272.32 1538.5 583031.92 1901789.76 "Actual" "Active" "down"
"21" 30039312140000 13376 5371.22 -5293.86 5567.29 91.01 313.34 1656.78 583064.89 1908464.34 "Actual" "Active" "up"
"22" 30039312170000 10425 5548.58 -3694.35 529.36 89.6 296.8 1467.42 584470.35 1906601.65 "Actual" "Active" "down"
"23" 30039312190000 10620 5500.98 -173.29 -4905.24 91.1 180 1208.02 624277.12 1904577.27 "Actual" "Active" "up"
"24" 30039312210100 11153 5677.88 578.07 -5705.93 90.8 179.6 1221.12 622776.65 1904542.85 "Actual" "Active" "up"
"25" 30039312240000 13202 5535.85 -8207.27 1578.4 89.52 284.68 1469.15 584747.38 1904616.78 "Actual" "Active" "down"
"26" 30039312250000 10961 5520.97 -4716.9 1942.45 92.33 284.57 1484.03 588259.65 1904985.34 "Actual" "Active" "up"
"27" 30039312260000 10853 5648.84 -4558.95 221.47 90.54 280.62 1622.16 567440.58 1903053.97 "Actual" "Active" "up"
"28" 30039312270000 10903 5711.27 -4619.95 1433.95 90.4 280.92 1559.73 567380.33 1904288.44 "Actual" "Active" "up"
"29" 30039312350000 11629 5441.33 -5452.3 752.16 91.28 286.14 1510.67 587780.61 1899798.06 "Actual" "Active" "up"
"30" 30039312360000 10740 5487.86 4892.41 -599.73 90.13 97.36 1464.14 598125.95 1898468.16 "Actual" "Active" "up"
"31" 30039312370000 11064 5443.69 -5513.41 1773.81 90.5 282 1508.31 587720.77 1900863.69 "Actual" "Active" "up"
"32" 30039312390000 11350 6403.23 -4890.56 797.18 91.71 277 373.77 614554.41 1971173.17 "Actual" "Active" "up"
"33" 30039312440000 11019 5492.04 5500.74 392.86 89.96 101.43 1446.96 598195.99 1900958.57 "Actual" "Active" "down"
"34" 30039312450000 11280 5479.6 5899.84 -944.56 88.81 96.72 1460.4 598639.14 1899617.43 "Actual" "Active" "down"
"35" 30039312460000 10125 5418.91 -4628.35 65.92 92.45 281.51 1427.09 593705.44 1905398.79 "Actual" "Active" "up"
"36" 30039312470000 10911 5451.28 -5157.43 1315.88 90.7 278.69 1394.72 593166.24 1906668.01 "Actual" "Active" "up"
"37" 30039312500000 9759 5545.58 -3696.26 2632.14 91.01 288.18 1418.42 589523.81 1908574.76 "Actual" "Active" "up"
"38" 30039312510000 10870 5585.57 -5638.04 934.05 90.13 270.97 1410.43 587838.34 1914039.8 "Actual" "Active" "up"
"39" 30039312520000 11580 5582.46 -5638.16 -16.75 91.63 273.26 1413.54 587857.54 1913077.01 "Actual" "Active" "up"
"40" 30039312540000 11696 5448.68 -6288.24 308.71 91.45 278.09 1474.32 592194.8 1902895.39 "Actual" "Active" "up"
"41" 30039312550000 12195 5551.06 6526.28 -399.49 90.13 102.88 1371.94 605019.11 1902230.76 "Actual" "Active" "up"
"42" 30039312560000 11369 5475.26 -5061.65 1437.29 90.4 272.78 1447.74 593426.3 1904045.72 "Actual" "Active" "up"
"43" 30039312630000 11285 5494.08 4762.79 -198.84 91.07 102.03 1363.92 603036.44 1907486.85 "Actual" "Active" "up"
"44" 30039312670000 11111 5482.51 4744.98 -1281.02 88.56 98.88 1375.49 602997.62 1906407.14 "Actual" "Active" "down"
"45" 30039312680000 11526 5454.44 -5941.2 1353.59 90.57 284.91 1403.56 592354.46 1909035.79 "Actual" "Active" "up"
"46" 30039312770000 11154 5438.73 4614.64 -1303.83 89.82 100 1407.27 602927.21 1904067.63 "Actual" "Active" "down"
"47" 30039312780000 11092 5512.94 -5416.55 2629.36 90.81 285.1 1345.06 592901.11 1910309.05 "Actual" "Active" "up"
"48" 30039312810000 10378 5516.93 4702.02 -130 88.65 95.44 1315.07 603003.46 1905260.75 "Actual" "Active" "down"
"49" 30039312870000 11427 5542.14 4740.14 -604.28 88.66 106.79 1301.86 603044.33 1909861.46 "Actual" "Active" "down"
"50" 30039312880000 11293 5448.98 -5634.88 2315.52 89.66 279.59 1437.02 598222.12 1902370.43 "Actual" "Active" "down"
"51" 30039312890100 11587 5494.77 -5759.69 1661.04 90.77 286.94 1350.23 592535.87 1912107.02 "Actual" "Active" "up"
"52" 30039312900000 10264 5521.22 -4626.77 2254.66 90.4 289.68 1323.78 593686.01 1912741.21 "Actual" "Active" "up"
"53" 30039312910100 10871 5530.17 4754.56 -1702.18 89.25 100.06 1313.83 603040.48 1908724 "Actual" "Active" "down"
"54" 30039312920000 10999 5458.47 -5589.62 1198.76 90.57 281.57 1427.53 598277.55 1901232.3 "Actual" "Active" "up"
"55" 30039312930000 10878 5426.93 -5554.64 -601.36 89.6 272.19 1459.07 598331.9 1899393.41 "Actual" "Active" "down"
"56" 30039312940000 11414 5442.61 4732.34 89.73 88.79 100.96 1443.39 608579.1 1900161.96 "Actual" "Active" "down"
"57" 30039312980000 12225 5412.43 4665.9 -3632.03 89.76 133.67 1494.57 602917.65 1908173.01 "Actual" "Active" "down"
"58" 30039312990000 12720 5405.46 4630.01 -5145.29 89.87 134.49 1501.54 602882.37 1906681.78 "Actual" "Active" "down"
"59" 30039313110000 11325 5483.71 -4559.13 1909.57 89.66 307.28 1347.29 582776.68 1918099.59 "Actual" "Active" "down"
"60" 30039313120000 11785 5338.19 -4108.48 3427.62 88.42 315.7 1478.81 583249.32 1919617.81 "Actual" "Active" "down"
"61" 30039313370000 13370 5710.15 -7115.35 1313.82 89.5 272.02 1621.85 556925.05 1906899.99 "Actual" "Active" "down"
"62" 30039313400000 13265 5685.19 -7149.45 169.74 90.34 276.39 1646.81 556927.96 1905741.17 "Actual" "Active" "up"
"63" 30043211170100 9985 5559.58 -4601.74 -66.31 91.6 272.2 1719.42 588433.25 1886893.53 "Actual" "Active" "up"
"64" 30043211180100 9900 5615.23 -4529.93 153.79 91.4 274.1 1631.77 583091.23 1891608.77 "Actual" "Active" "up"
"65" 30043211220100 9575 5372.99 -4403.31 342.08 90.6 271.6 1574.01 619900.43 1880845.84 "Actual" "Active" "up"
"66" 30043211230000 9870 5397.03 -4759.05 166.57 91.7 269.3 1667.97 609402.26 1880808.64 "Actual" "Active" "up"
"67" 30043211240100 9630 5361.08 -4441.54 -278.78 91 269.5 1832.92 619663.41 1862260.93 "Actual" "Active" "up"
"68" 30043211250000 10204 5433.53 -4532.77 -809.64 90.9 271.4 1682.47 598925.92 1883625.21 "Actual" "Active" "up"
"69" 30043211260000 12575 5552.45 -7267.68 151.9 91.6 268.6 1643.55 596278.51 1886694.79 "Actual" "Active" "up"
"70" 30043211270000 12610 5575.73 -7297.05 152.08 90.8 269.2 1640.27 596265.21 1887923.37 "Actual" "Active" "up"
"71" 30043211290000 10060 5450.4 -4592.21 762.7 91.1 267.7 1650.6 598936.37 1885205.23 "Actual" "Active" "up"
"72" 30043211300100 9565 5334.7 -4456.47 107.16 91 273 1663.3 609417.54 1882252.25 "Actual" "Active" "up"
"73" 30043211310100 10350 5311.01 -5083.72 614.95 91.6 270.4 1888.99 603966.24 1866500.18 "Actual" "Active" "up"
